run,size,aug,arch,instance_head,seed,set,agent_center_err,agent_count_ok,agent_f1,agent_precision,agent_recall,group_pairing_ok,heading_err_deg,iou_agent,iou_background,iou_goal_region,iou_obstacle,iou_start_region,iou_wall,miou,n_agents,n_scenes,obst_center_err,obst_count_ok,obst_precision,obst_radius_err,obst_recall,parse_fail,pixacc,region_count_ok,region_iou,scene_usable,wall_iou,wall_surface_err
s128_a2_unet24x4_inst_seed1,128,2,unet24x4,1,1,test_spacing/gap0.0,0.13616487973127428,0.9233333333333333,0.9933255263255262,1.0,0.987813492063492,1.0,3.2733722809922052,0.8429086627101096,0.9972629937218843,0.9971199330473863,0.9809819210492685,0.9740265389416813,0.997007361922172,0.96447209220651,1811,300,0.18160329718347473,1.0,1.0,0.2538101297021138,1.0,0.0,0.9972821044921875,1.0,0.9151927288779795,0.9233333333333333,0.997007361922172,0.30233716235185665
s128_a2_unet24x4_inst_seed1,128,2,unet24x4,1,1,test_spacing/gap0.5,0.1336609973019139,0.9166666666666666,0.9924620564620564,1.0,0.9862698412698414,1.0,2.952782462188317,0.8415884849711559,0.997555438062502,0.9981141126920479,0.9829379333986393,0.9756625201004061,0.9962450911495193,0.964882310164885,1766,300,0.18074872870726366,1.0,1.0,0.2536015866554489,1.0,0.0,0.9973404947916666,1.0,0.9103573335092953,0.9166666666666666,0.9962450911495193,0.30373407954660553
s128_a2_unet24x4_inst_seed1,128,2,unet24x4,1,1,test_spacing/gap1.0,0.13453550939313166,0.9133333333333333,0.9920969400969402,1.0,0.9855873015873016,1.0,2.874281225090243,0.8426992403552364,0.9971012739595357,0.9966693963181448,0.9795077808453413,0.9745486278721159,0.9964110090278857,0.9640416708900752,1804,300,0.17841151897703086,1.0,1.0,0.25642872361655084,1.0,0.0,0.9971697998046875,1.0,0.9124567914763664,0.9133333333333333,0.9964110090278857,0.30497453070711344
s128_a2_unet24x4_inst_seed1,128,2,unet24x4,1,1,test_spacing/gap2.0,0.13257924210211552,0.89,0.9903484663484664,1.0,0.9823730158730158,1.0,2.58171536786637,0.8438616270331483,0.9970422745092132,0.9962901107507035,0.9853429341264193,0.974618604991897,0.996909579370573,0.9651101076509002,1829,300,0.17342070980739213,1.0,1.0,0.2550930247037607,1.0,0.0,0.99717529296875,1.0,0.9127348387354387,0.89,0.996909579370573,0.299978294215786
s128_a2_unet24x4_inst_seed1,128,2,unet24x4,1,1,test_spacing/gap4.0,0.1365881154809296,0.88,0.9887756317756318,1.0,0.9796071428571429,1.0,2.7955503671374373,0.8417402885895177,0.9972583708978857,0.9974105985129526,0.9877889977383614,0.9750570411207663,0.9966500347898694,0.9653876741577692,1820,300,0.1761937133625105,1.0,1.0,0.26065358304714914,1.0,0.0,0.9972206624348958,1.0,0.9114760851619027,0.88,0.9966500347898694,0.30430823646020144
s128_a2_unet24x4_inst_seed1,128,2,unet24x4,1,1,test_dense,0.13019521431835335,1.0,1.0,1.0,1.0,1.0,1.6540192173303967,0.8462645858543433,0.9951949588386269,0.9971685369438656,0.9891792680200311,0.93869676690122,0.9972463646371068,0.9606052943545142,4092,300,0.17385518385545995,1.0,1.0,0.2558072938416661,1.0,0.0,0.9948175048828125,1.0,0.8979191157508789,1.0,0.9972463646371068,0.304665109841153
s128_a2_unet24x4_seed0,128,2,unet24x4,0,0,test,0.2906730800103358,0.996,0.9986997863247864,0.9989988095238096,0.998447619047619,1.0,8.742263356871906,0.9577767381932374,0.9990085654943721,0.9998199500167682,0.9725720517871551,0.9954283312005979,0.9965734260506083,0.9872405354126783,4597,1000,0.20071231933361955,0.994,0.9983833333333333,0.2693841729856516,1.0,0.0,0.9990772705078125,1.0,0.9235471921144203,0.986,0.9965734260506083,0.30737251659156756
s128_a2_unet24x4_seed0,128,2,unet24x4,0,0,test_aug3,0.31514735464253796,0.997,0.9991885531135531,0.9993988095238096,0.9990059523809524,0.922,9.454826576960022,0.9180224088899707,0.9725551602779727,0.9979216638158971,0.9863713546101878,0.9455546972224261,0.9957801741643225,0.9689663521360696,4537,1000,0.1313943694071125,0.999,0.9996666666666666,0.2542759249064082,1.0,0.0,0.986058837890625,0.996,0.8938504615587703,0.915,0.9957801741643225,0.3137378212995827
s128_a2_unet24x4_seed0,128,2,unet24x4,0,0,test_spacing/gap0.0,0.4165979875083475,0.4066666666666667,0.8849245661745662,0.978186507936508,0.8223650793650793,1.0,31.969182253891788,0.9445589096187101,0.9989787828337238,0.9997674792189783,0.9883455992386042,0.9919926379603017,0.9974654245168074,0.9868311625474014,1811,300,0.20094692226349378,0.9933333333333333,0.9983333333333333,0.27220799078909796,1.0,0.0,0.9989154052734375,1.0,0.9235034591863295,0.4,0.9974654245168074,0.3067405484228705
s128_a2_unet24x4_seed0,128,2,unet24x4,0,0,test_spacing/gap0.5,0.3831829260645887,0.5566666666666666,0.9099446941946941,0.9795198412698413,0.8636150793650794,1.0,29.4733597272882,0.9457976599893447,0.9990340257246042,0.9998626364677923,0.9676881806604871,0.9927963538980735,0.9968245062494642,0.9840913286964336,1766,300,0.20391191133080316,0.9933333333333333,0.9977777777777778,0.26945802705145516,1.0,0.0,0.9989129638671875,1.0,0.9232204897051682,0.5466666666666666,0.9968245062494642,0.30530814997230965
